time, state, current
00:24.310, 1, 30
00:24.335, 1, 20
00:24.360, 1, 10
00:24.386, 1, 10
00:24.411, 1, 10
00:24.436, 1, 10
00:24.462, 1, 20
00:24.487, 1, 10
00:24.513, 1, 20
00:24.538, 1, 0
00:24.563, 1, 10
00:24.589, 1, 0
00:24.614, 1, 10
00:24.639, 1, 10
00:24.665, 1, 10
00:24.690, 1, 10
00:24.715, 1, 0
00:24.741, 1, 20
00:24.766, 1, 20
00:24.791, 1, 10
00:24.817, 1, 20
00:24.842, 1, 10
00:24.868, 1, 20
00:24.893, 1, 10
00:24.918, 1, 10
00:24.944, 1, 20
00:24.969, 1, 20
00:24.994, 1, 0
00:25.020, 1, 10
00:25.045, 1, 20
00:25.070, 1, 20
00:25.096, 1, 20
00:25.121, 1, 20
00:25.146, 1, 20
00:25.172, 1, 0
00:25.199, 1, 10
00:25.225, 1, 20
00:25.251, 1, 30
00:25.278, 1, 40
00:25.305, 1, 60
00:25.331, 1, 60
00:25.358, 1, 60
00:25.384, 1, 70
00:25.410, 1, 80
00:25.437, 1, 80
00:25.463, 1, 70
00:25.490, 1, 100
00:25.517, 1, 110
00:25.543, 2, 20
00:25.568, 2, 30
00:25.593, 2, 50
00:25.618, 2, 40
00:25.643, 2, 50
00:25.668, 2, 50
00:25.693, 2, 50
00:25.718, 2, 50
00:25.743, 2, 40
00:25.768, 2, 50
00:25.793, 2, 40
00:25.818, 2, 40
00:25.843, 2, 40
00:25.868, 2, 40
00:25.893, 2, 50
00:25.917, 2, 40
00:25.942, 2, 50
00:25.966, 2, 50
00:25.992, 2, 40
00:26.018, 2, 40
00:26.043, 2, 40
00:26.069, 2, 50
00:26.094, 2, 50
00:26.120, 2, 50
00:26.145, 2, 50
00:26.171, 2, 50
00:26.196, 2, 50
00:26.221, 2, 40
00:26.246, 2, 40
00:26.270, 2, 50
00:26.295, 2, 40
00:26.320, 2, 50
00:26.344, 2, 40
00:26.369, 2, 40
00:26.393, 2, 40
00:26.417, 2, 50
00:26.442, 2, 50
00:26.466, 2, 40
00:26.491, 2, 40
00:26.515, 2, 40
00:26.539, 2, 40
00:26.564, 2, 40
00:26.588, 2, 50
00:26.613, 2, 50
00:26.638, 2, 40
00:26.662, 2, 50
00:26.686, 2, 40
00:26.711, 2, 50
00:26.736, 2, 40
00:26.760, 2, 50
00:26.785, 2, 50
00:26.809, 2, 50
00:26.834, 2, 40
00:26.858, 2, 50
00:26.883, 2, 40
00:26.908, 2, 50
00:26.932, 2, 40
00:26.957, 2, 40
00:26.981, 2, 50
00:27.006, 2, 40
00:27.031, 2, 40
00:27.055, 2, 40
00:27.080, 2, 40
00:27.105, 2, 50
00:27.129, 2, 40
00:27.154, 2, 50
00:27.179, 2, 50
00:27.203, 2, 50
00:27.228, 2, 40
00:27.252, 2, 50
00:27.277, 2, 40
00:27.308, 2, 40
00:27.333, 1, 50
00:27.358, 1, 40
00:27.384, 1, 50
00:27.410, 1, 60
00:27.436, 1, 50
00:27.461, 1, 40
00:27.487, 1, 30
00:27.513, 1, 20
00:27.539, 1, 10
00:27.565, 1, 10
00:27.590, 1, 30
00:27.616, 1, 50
00:27.641, 1, 20
00:27.667, 1, 0
00:27.693, 1, 10
00:27.718, 1, 10
00:27.744, 1, 20
00:27.770, 1, 10
00:27.796, 1, 20
00:27.821, 1, 20
00:27.847, 1, 20
00:27.873, 1, 10
00:27.898, 1, 0
00:27.924, 1, 40
00:27.950, 1, 40
00:27.976, 1, 10
00:28.001, 1, 0
00:28.027, 1, 0
00:28.053, 1, 10
00:28.078, 1, 40
00:28.104, 1, 20
00:28.130, 1, 20
00:28.156, 1, 30
00:28.181, 1, 10
00:28.207, 1, 20
00:28.233, 1, 40
00:28.258, 1, 20
00:28.284, 1, 20
00:28.310, 1, 10
00:28.335, 1, 20
